,ID_Cliente,Idade,Qtd_Filhos,Rendimento_Anual,Anos_empregado,Tamanho_Familia,Tem_Carro,Tem_Casa_Propria,Tem_telefone_trabalho,Tem_telefone_fixo,Tem_email,Categoria_de_renda,Grau_Escolaridade,Estado_Civil,Moradia,Ocupacao,Mau
0,5008804,33.0,0,427500.0,12.4,2.0,1,1,1,0,0,Empregado,Ensino superior,Uniao estavel,Alugado,Outros,0
1,5008805,33.0,0,427500.0,12.4,2.0,1,1,1,0,0,Empregado,Ensino superior,Uniao estavel,Alugado,Outros,0
2,5008806,59.0,0,112500.0,3.1,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Seguranca,0
3,5008810,52.0,0,270000.0,8.4,1.0,0,1,0,1,1,Associado comercial,Ensino medio,Solteiro,Casa propria,Venda,0
4,5008811,52.0,0,270000.0,8.4,1.0,0,1,0,1,1,Associado comercial,Ensino medio,Solteiro,Casa propria,Venda,0
5,5008812,62.0,0,283500.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino superior,Separado,Casa propria,Outros,0
6,5008813,62.0,0,283500.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino superior,Separado,Casa propria,Outros,0
7,5008814,62.0,0,283500.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino superior,Separado,Casa propria,Outros,0
8,5112956,46.0,0,270000.0,2.1,2.0,1,1,1,1,1,Empregado,Ensino superior,Casado,Casa propria,Contabilidade,0
9,5008825,29.0,0,130500.0,3.0,2.0,1,0,0,0,0,Empregado,Ensino superior incompleto,Casado,Casa propria,Contabilidade,0
10,5008826,29.0,0,130500.0,3.0,2.0,1,0,0,0,0,Empregado,Ensino superior incompleto,Casado,Casa propria,Contabilidade,0
11,5008830,27.0,0,157500.0,4.0,2.0,0,1,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
12,5008831,27.0,0,157500.0,4.0,2.0,0,1,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
13,5008832,27.0,0,157500.0,4.0,2.0,0,1,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
14,5008834,30.0,1,112500.0,4.4,2.0,0,1,0,0,0,Empregado,Ensino medio,Solteiro,Casa propria,Outros,0
15,5008835,30.0,1,112500.0,4.4,2.0,0,1,0,0,0,Empregado,Ensino medio,Solteiro,Casa propria,Outros,0
16,5008836,35.0,3,270000.0,3.2,5.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
17,5008837,35.0,3,270000.0,3.2,5.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
18,5008838,32.0,1,405000.0,5.5,3.0,0,1,0,0,0,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
19,5008839,32.0,1,405000.0,5.5,3.0,0,1,0,0,0,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
20,5008840,32.0,1,405000.0,5.5,3.0,0,1,0,0,0,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
21,5008843,32.0,1,405000.0,5.5,3.0,0,1,0,0,0,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
22,5008844,56.0,0,112500.0,12.2,2.0,1,1,0,1,0,Associado comercial,Ensino medio,Casado,Casa propria,Motorista,0
23,5008847,56.0,0,112500.0,12.2,2.0,1,1,0,1,0,Associado comercial,Ensino medio,Casado,Casa propria,Motorista,0
24,5008850,56.0,0,112500.0,12.2,2.0,1,1,0,1,0,Associado comercial,Ensino medio,Casado,Casa propria,Motorista,0
25,5008853,56.0,0,112500.0,12.2,2.0,1,1,0,1,0,Associado comercial,Ensino medio,Casado,Casa propria,Motorista,0
26,5008855,43.0,2,135000.0,8.7,4.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
27,5008857,43.0,2,135000.0,8.7,4.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
28,5008868,44.0,1,211500.0,19.4,3.0,0,1,0,0,0,Servidor publico,Ensino medio,Uniao estavel,Casa propria,Equipe principal,0
29,5008873,34.0,2,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
30,5008874,34.0,2,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
31,5008875,34.0,2,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
32,5008876,34.0,2,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
33,5008879,34.0,2,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
34,5008881,34.0,2,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
35,5008882,34.0,2,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
36,5008884,55.0,0,315000.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino medio,Viuvo,Casa propria,Outros,0
37,5008892,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
38,5008893,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
39,5008894,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
40,5008895,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
41,5008896,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
42,5008897,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
43,5008898,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
44,5008899,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
45,5008900,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
46,5008901,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
47,5008902,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
48,5008903,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
49,5008904,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
50,5008905,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
51,5008906,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
52,5008907,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
53,5008908,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
54,5008909,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
55,5008910,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
56,5008911,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
57,5008912,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
58,5008913,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
59,5008914,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
60,5008915,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
61,5008916,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
62,5008917,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
63,5008918,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
64,5008919,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
65,5008920,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
66,5008921,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
67,5008922,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
68,5008923,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
69,5008924,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
70,5008925,43.0,0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
71,5008942,37.0,0,157500.0,13.3,2.0,0,0,0,1,0,Associado comercial,Ensino superior,Casado,Casa propria,Alta tecnologia,0
72,5008943,37.0,0,157500.0,13.3,2.0,0,0,0,1,0,Associado comercial,Ensino superior,Casado,Casa propria,Alta tecnologia,0
73,5008944,37.0,0,157500.0,13.3,2.0,0,0,0,1,0,Associado comercial,Ensino superior,Casado,Casa propria,Alta tecnologia,0
74,5008945,37.0,0,157500.0,13.3,2.0,0,0,0,1,0,Associado comercial,Ensino superior,Casado,Casa propria,Alta tecnologia,0
75,5008946,37.0,0,157500.0,13.3,2.0,0,0,0,1,0,Associado comercial,Ensino superior,Casado,Casa propria,Alta tecnologia,0
76,5008947,42.0,0,135000.0,3.9,2.0,0,1,1,1,0,Empregado,Ensino medio,Casado,Casa propria,Motorista,0
77,5008948,42.0,0,135000.0,3.9,2.0,0,1,1,1,0,Empregado,Ensino medio,Casado,Casa propria,Motorista,0
78,5008950,42.0,0,135000.0,3.9,2.0,0,1,1,1,0,Empregado,Ensino medio,Casado,Casa propria,Motorista,0
79,5008951,28.0,1,225000.0,7.7,3.0,0,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Outros,0
80,5008952,28.0,1,225000.0,7.7,3.0,0,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Outros,0
81,5008953,28.0,1,225000.0,7.7,3.0,0,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Outros,0
82,5008956,49.0,0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
83,5008957,49.0,0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
84,5008959,49.0,0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
85,5008960,49.0,0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
86,5008962,49.0,0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
87,5008963,49.0,0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
88,5008966,44.0,0,157500.0,2.4,2.0,0,1,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Outros,0
89,5008967,44.0,0,157500.0,2.4,2.0,0,1,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Outros,0
90,5008975,61.0,0,112500.0,-1.0,2.0,0,1,0,0,0,Pensionista,Ensino medio,Casado,Casa propria,Outros,0
91,5008977,61.0,0,112500.0,-1.0,2.0,0,1,0,0,0,Pensionista,Ensino medio,Casado,Casa propria,Outros,0
92,5008978,61.0,0,112500.0,-1.0,2.0,0,1,0,0,0,Pensionista,Ensino medio,Casado,Casa propria,Outros,0
93,5008979,61.0,0,112500.0,-1.0,2.0,0,1,0,0,0,Pensionista,Ensino medio,Casado,Casa propria,Outros,0
94,5008980,61.0,0,112500.0,-1.0,2.0,0,1,0,0,0,Pensionista,Ensino medio,Casado,Casa propria,Outros,0
95,5008984,57.0,0,112500.0,6.5,2.0,1,1,0,1,0,Servidor publico,Ensino medio,Casado,Casa propria,Motorista,0
96,5008988,57.0,0,112500.0,6.5,2.0,1,1,0,1,0,Servidor publico,Ensino medio,Casado,Casa propria,Motorista,0
97,5008991,45.0,0,270000.0,3.3,1.0,1,1,1,1,0,Empregado,Ensino medio,Separado,Casa propria,Limpeza,0
98,5008993,45.0,0,270000.0,3.3,1.0,1,1,1,1,0,Empregado,Ensino medio,Separado,Casa propria,Limpeza,0
99,5008994,45.0,0,270000.0,3.3,1.0,1,1,1,1,0,Empregado,Ensino medio,Separado,Casa propria,Limpeza,0
100,5008995,45.0,0,270000.0,3.3,1.0,1,1,1,1,0,Empregado,Ensino medio,Separado,Casa propria,Limpeza,0
101,5112861,45.0,0,270000.0,3.3,1.0,1,1,1,1,0,Empregado,Ensino medio,Separado,Casa propria,Limpeza,0
102,5009000,27.0,0,157500.0,2.3,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Motorista,0
