ID_Cliente,Idade,Qtd_Filhos,Rendimento_Anual,Anos_empregado,Tamanho_Familia,Tem_Carro,Tem_Casa_Propria,Tem_telefone_trabalho,Tem_telefone_fixo,Tem_email,Categoria_de_renda,Grau_Escolaridade,Estado_Civil,Moradia,Ocupacao,Mau
5008804,33.0,0.0,315000.0,12.4,2.0,1,1,1,0,0,Empregado,Ensino superior,Uniao estavel,Alugado,Outros,0
5008805,33.0,0.0,315000.0,12.4,2.0,1,1,1,0,0,Empregado,Ensino superior,Uniao estavel,Alugado,Outros,0
5008806,59.0,0.0,112500.0,3.1,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Seguranca,0
5008810,52.0,0.0,270000.0,8.4,1.0,0,1,0,1,1,Associado comercial,Ensino medio,Solteiro,Casa propria,Venda,0
5008811,52.0,0.0,270000.0,8.4,1.0,0,1,0,1,1,Associado comercial,Ensino medio,Solteiro,Casa propria,Venda,0
5008812,62.0,0.0,283500.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino superior,Separado,Casa propria,Outros,0
5008813,62.0,0.0,283500.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino superior,Separado,Casa propria,Outros,0
5008814,62.0,0.0,283500.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino superior,Separado,Casa propria,Outros,0
5112956,46.0,0.0,270000.0,2.1,2.0,1,1,1,1,1,Empregado,Ensino superior,Casado,Casa propria,Contabilidade,0
5008825,29.0,0.0,130500.0,3.0,2.0,1,0,0,0,0,Empregado,Ensino superior incompleto,Casado,Casa propria,Contabilidade,0
5008826,29.0,0.0,130500.0,3.0,2.0,1,0,0,0,0,Empregado,Ensino superior incompleto,Casado,Casa propria,Contabilidade,0
5008830,27.0,0.0,157500.0,4.0,2.0,0,1,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008831,27.0,0.0,157500.0,4.0,2.0,0,1,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008832,27.0,0.0,157500.0,4.0,2.0,0,1,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008834,30.0,1.0,112500.0,4.4,2.0,0,1,0,0,0,Empregado,Ensino medio,Solteiro,Casa propria,Outros,0
5008835,30.0,1.0,112500.0,4.4,2.0,0,1,0,0,0,Empregado,Ensino medio,Solteiro,Casa propria,Outros,0
5008836,35.0,2.0,270000.0,3.2,4.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008837,35.0,2.0,270000.0,3.2,4.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008838,32.0,1.0,315000.0,5.5,3.0,0,1,0,0,0,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
5008839,32.0,1.0,315000.0,5.5,3.0,0,1,0,0,0,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
5008840,32.0,1.0,315000.0,5.5,3.0,0,1,0,0,0,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
5008843,32.0,1.0,315000.0,5.5,3.0,0,1,0,0,0,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
5008844,56.0,0.0,112500.0,12.2,2.0,1,1,0,1,0,Associado comercial,Ensino medio,Casado,Casa propria,Motorista,0
5008847,56.0,0.0,112500.0,12.2,2.0,1,1,0,1,0,Associado comercial,Ensino medio,Casado,Casa propria,Motorista,0
5008850,56.0,0.0,112500.0,12.2,2.0,1,1,0,1,0,Associado comercial,Ensino medio,Casado,Casa propria,Motorista,0
